Machine,Sl.No,Check Points,Checking Method,Apr W1,Apr W2,Apr W3,Apr W4,May W1,May W2,May W3,May W4,Jun W1,Jun W2,Jun W3,Jun W4,Jul W1,Jul W2,Jul W3,Jul W4,Aug W1,Aug W2,Aug W3,Aug W4,Sep W1,Sep W2,Sep W3,Sep W4,Oct W1,Oct W2,Oct W3,Oct W4,Nov W1,Nov W2,Nov W3,Nov W4,Dec W1,Dec W2,Dec W3,Dec W4,Jan W1,Jan W2,Jan W3,Jan W4,Feb W1,Feb W2,Feb W3,Feb W4,Mar W1,Mar W2,Mar W3,Mar W4
CA04M01,1,"Operator panel push buttons, indication lamps,selector s/w mounting should be in proper tight.",By hand,O,O,O,O,O,O,X,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA04M01,2,"There should be no damage of lamps, Switches and push buttons.",Visual,O,O,O,O,O,O,X,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA04M01,3,"Front doors, Side doors & its safety lock s/w mounting conditions should be proper",By hand,O,O,O,O,O,O,X,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA04M01,4,Check delivery pressure in gauge,Visual,O,O,O,O,O,O,X,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA04M01,5,Check for any abnormal noise from spindle during auto cycle.,Hearing,O,O,O,O,O,O,X,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA04M01,6,Check for any abnormal noise from APC during Auto cycle.,Visual,O,O,O,O,O,O,X,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA04M01,7,Any physical damage in CNC Screen.,Visual,O,O,O,O,O,O,X,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA04M01,8,Check for Oil Level,Visual,O,O,O,O,O,O,X,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA04M01,9,Check tank oil level,Visual,O,O,O,O,O,O,X,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA04M01,1,Panel Air Cooler filter clean & working condition,Visual,O,O,O,O,O,O,X,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
